FCFS
Process ID,Arrival Time,Service Time,Finish Time,Turnaround Time,Response Time,Ratio TAT/SVC
1,0,6,10,10,0,1.6666666666666667
2,2,12,37,35,1,2.9166666666666665
3,4,8,33,29,6,3.625
4,6,10,24,18,8,1.8
5,8,4,40,32,20,8.0
Throughput,0.125

SRT
1,0,6,7,7,0,1.1666666666666667
2,2,12,42,40,1,3.3333333333333335
3,4,8,20,16,3,2.0
4,6,10,29,23,9,2.3
5,8,4,14,6,0,1.5
Throughput,0.11904761904761904

HRRN
1,0,6,10,10,0,1.6666666666666667
2,2,12,41,39,1,3.25
3,4,8,31,27,6,3.375
4,6,10,25,19,9,1.9
5,8,4,32,24,6,6.0
Throughput,0.12195121951219512

RR
1,0,6,14,14,1,2.3333333333333335
2,2,12,39,37,2,3.0833333333333335
3,4,8,34,30,3,3.75
4,6,10,40,34,4,3.4
5,8,4,27,19,5,4.75
Throughput,0.125

