FCFS
Process ID,Arrival Time,Service Time,Finish Time,Turnaround Time,Response Time,Ratio TAT/SVC
0,0,23,358,358,0,15.565217391304348
1,2,20,197,195,4,9.75
2,4,14,38,34,20,2.4285714285714284
3,6,36,802,796,42,22.11111111111111
4,8,36,843,835,56,23.194444444444443
5,10,7,844,834,82,119.14285714285714
6,12,37,867,855,83,23.10810810810811
7,14,40,872,858,92,21.45
8,16,35,651,635,121,18.142857142857142
9,18,34,183,165,131,4.852941176470588
10,20,27,892,872,163,32.2962962962963
11,22,15,661,639,165,42.6
12,24,38,692,668,173,17.57894736842105
13,26,18,696,670,178,37.22222222222222
14,28,9,893,865,190,96.11111111111111
15,30,13,237,207,194,15.923076923076923
16,32,40,898,866,205,21.65
17,34,19,914,880,237,46.31578947368421
18,36,19,292,256,237,13.473684210526315
19,38,15,307,269,254,17.933333333333334
20,40,31,338,298,267,9.612903225806452
21,42,39,731,689,296,17.666666666666668
22,44,38,938,894,302,23.526315789473685
23,46,5,941,895,304,179.0
24,48,34,946,898,310,26.41176470588235
25,50,23,947,897,328,39.0
26,52,19,948,896,341,47.1578947368421
27,54,26,782,728,353,28.0
28,56,27,950,894,357,33.111111111111114
29,58,20,953,895,377,44.75
30,60,26,957,897,390,34.5
31,62,12,963,901,409,75.08333333333333
32,64,16,810,746,419,46.625
33,66,40,824,758,425,18.95
34,68,18,831,763,449,42.388888888888886
35,70,30,965,895,458,29.833333333333332
36,72,14,568,496,482,35.42857142857143
37,74,40,608,534,494,13.35
38,76,19,972,896,532,47.1578947368421
Throughput,0.040123456790123455

SRT
0,0,23,297,297,0,12.91304347826087
1,2,20,143,141,0,7.05
2,4,14,25,21,0,1.5
3,6,36,626,620,559,17.22222222222222
4,8,36,662,654,596,18.166666666666668
5,10,7,19,9,0,1.2857142857142858
6,12,37,699,687,640,18.56756756756757
7,14,40,854,840,767,21.0
8,16,35,589,573,523,16.37142857142857
9,18,34,519,501,467,14.735294117647058
10,20,27,399,379,345,14.037037037037036
11,22,15,50,28,3,1.8666666666666667
12,24,38,736,712,647,18.736842105263158
13,26,18,161,135,114,7.5
14,28,9,39,11,0,1.2222222222222223
15,30,13,67,37,12,2.8461538461538463
16,32,40,894,862,811,21.55
17,34,19,199,165,137,8.68421052631579
18,36,19,216,180,144,9.473684210526315
19,38,15,94,56,31,3.7333333333333334
20,40,31,485,445,410,14.35483870967742
21,42,39,813,771,697,19.76923076923077
22,44,38,775,731,660,19.236842105263158
23,46,5,57,11,4,2.2
24,48,34,555,507,471,14.911764705882353
25,50,23,320,270,228,11.73913043478261
26,52,19,237,185,164,9.736842105263158
27,54,26,345,291,256,11.192307692307692
28,56,27,426,370,318,13.703703703703704
29,58,20,276,218,181,10.9
30,60,26,372,312,264,12.0
31,62,12,81,19,5,1.5833333333333333
32,64,16,125,61,44,3.8125
33,66,40,933,867,820,21.675
34,68,18,179,111,88,6.166666666666667
35,70,30,456,386,349,12.866666666666667
36,72,14,108,36,22,2.5714285714285716
37,74,40,972,898,844,22.45
38,76,19,256,180,154,9.473684210526315
Throughput,0.040123456790123455

HRRN
0,0,23,211,211,0,9.173913043478262
1,2,20,130,128,4,6.4
2,4,14,41,37,23,2.642857142857143
3,6,36,649,643,521,17.86111111111111
4,8,36,669,661,537,18.36111111111111
5,10,7,51,41,14,5.857142857142857
6,12,37,697,685,616,18.513513513513512
7,14,40,912,898,735,22.45
8,16,35,598,582,499,16.62857142857143
9,18,34,489,471,437,13.852941176470589
10,20,27,345,325,290,12.037037037037036
11,22,15,97,75,44,5.0
12,24,38,739,715,673,18.81578947368421
13,26,18,146,120,71,6.666666666666667
14,28,9,65,37,16,4.111111111111111
15,30,13,90,60,47,4.615384615384615
16,32,40,958,926,780,23.15
17,34,19,196,162,100,8.526315789473685
18,36,19,165,129,110,6.7894736842105265
19,38,15,126,88,73,5.866666666666666
20,40,31,455,415,384,13.387096774193548
21,42,39,877,835,762,21.41025641025641
22,44,38,804,760,660,20.0
23,46,5,77,31,17,6.2
24,48,34,674,626,550,18.41176470588235
25,50,23,325,275,245,11.956521739130435
26,52,19,271,219,167,11.526315789473685
27,54,26,392,338,291,13.0
28,56,27,424,368,336,13.62962962962963
29,58,20,288,230,190,11.5
30,60,26,422,362,291,13.923076923076923
31,62,12,142,80,64,6.666666666666667
32,64,16,219,155,132,9.6875
33,66,40,972,906,815,22.65
34,68,18,270,202,165,11.222222222222221
35,70,30,575,505,419,16.833333333333332
36,72,14,180,108,94,7.714285714285714
37,74,40,953,879,839,21.975
38,76,19,295,219,195,11.526315789473685
Throughput,0.040123456790123455

RR
0,0,23,539,539,1,23.434782608695652
1,2,20,510,508,2,25.4
2,4,14,354,350,3,25.0
3,6,36,906,900,4,25.0
4,8,36,914,906,5,25.166666666666668
5,10,7,163,153,6,21.857142857142858
6,12,37,931,919,6,24.83783783783784
7,14,40,959,945,8,23.625
8,16,35,921,905,9,25.857142857142858
9,18,34,910,892,10,26.235294117647058
10,20,27,805,785,11,29.074074074074073
11,22,15,518,496,12,33.06666666666667
12,24,38,952,928,13,24.42105263157895
13,26,18,618,592,14,32.888888888888886
14,28,9,328,300,15,33.333333333333336
15,30,13,473,443,16,34.07692307692308
16,32,40,968,936,17,23.4
17,34,19,662,628,18,33.05263157894737
18,36,19,665,629,18,33.10526315789474
19,38,15,557,519,20,34.6
20,40,31,895,855,21,27.580645161290324
21,42,39,965,923,22,23.666666666666668
22,44,38,962,918,23,24.157894736842106
23,46,5,224,178,24,35.6
24,48,34,937,889,25,26.147058823529413
25,50,23,771,721,26,31.347826086956523
26,52,19,689,637,27,33.526315789473685
27,54,26,829,775,28,29.807692307692307
28,56,27,847,791,29,29.296296296296298
29,58,20,718,660,30,33.0
30,60,26,835,775,31,29.807692307692307
31,62,12,499,437,32,36.416666666666664
32,64,16,624,560,33,35.0
33,66,40,971,905,34,22.625
34,68,18,679,611,35,33.94444444444444
35,70,30,903,833,35,27.766666666666666
36,72,14,573,501,37,35.785714285714285
37,74,40,972,898,38,22.45
38,76,19,709,633,39,33.31578947368421
Throughput,0.040123456790123455

